"","PRIMARY_KEY","ORGANIZATION_NAME","SUB_BUILDING_NAME","BUILDING_NAME","NUMBER","PRIMARY_THORFARE","ALT_THORFARE","SECONDARY_THORFARE","LOCALITY","TOWNLAND","TOWN","COUNTY","POSTCODE","X_CORDINATE","Y_CORDINATE"
"853425",853425,"","","","130","IRISH GREEN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AP",267290,422536
"853536",853536,"","","","25","COLLEGE COURT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267488,422333
"853537",853537,"","","","20","COLLEGE COURT","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267498,422317
"853560",853560,"","","","102","BOLEA ROAD","","","","BOLEA","LIMAVADY","LONDONDERRY","BT490QU",271802,425980
"853671",853671,"","FLAT D","","12","RATHBRADY ROAD","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BH",267065,422653
"854241",854241,"","","","22","COOLESSAN WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267539,421728
"854253",854253,"","","","106","MOUNT EDEN","","","","CARRAN","LIMAVADY","LONDONDERRY","BT490TS",268699,421594
"854254",854254,"","","","2","ROSSEDEN PARK","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490PQ",268967,422014
"854266",854266,"","","","26","MAIN STREET","","","","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",267015,423234
"854408",854408,"","","","37","SHORE AVENUE","","","","CARROWCLARE","LIMAVADY","LONDONDERRY","BT499EE",263503,427829
"854791",854791,"","","","49","COOLESSAN WALK","","","","COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267527,421859
"854873",854873,"","","","7","BROIGHTER GARDENS","","","","BOVALLY","LIMAVADY","LONDONDERRY","BT490GH",268846,422494
"854877",854877,"","","","35","POLLYS BRAE ROAD","","","","LARGY","LIMAVADY","LONDONDERRY","BT499LL",266971,418131
"855039",855039,"","","","38","DRUMAVALLY","","","","DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267163,432918
"855042",855042,"","","","46","DUNCRUN ROAD","","","","TAMLAGHT (PART OF GLEBE)","LIMAVADY","LONDONDERRY","BT490JD",267611,431523
"855202",855202,"","","","58","LILAC AVENUE","","","","GORTNAMONEY","LIMAVADY","LONDONDERRY","BT490JU",268015,425050
